timestamp,tweet_text,username,all_hashtags
2019-12-14 12:48:37,b'@SupesBatsy @knoxbenn1 Christopher Nolan produced MoS and Snyder joined much later. It was WB\xe2\x80\x99s attempt to replicate the same success they had with Batman but with Superman this time.',b'whenbatmenfly',[]
2019-12-14 12:48:33,b'i just thought about the end of the dark knight rises when gordon realizes bruce wayne is batman and i started crying a little',b'horrorbrat_',[]
2019-12-14 12:48:27,"b""my classmates are studying, while I'm watching batman""",b'alradznicesaada',[]
2019-12-14 12:48:26,b'@KatanaShadow_ 2009 : Batman Arkham Asylum2010 : RED Dead Redemption 2011 : Skyrim2012 : Hotline Miami 2013 : Bioshock infinite 2014 : Shadow of morder2015 : Bloodborne 2016 : Dark Souls 32017 : Persona 52018 : RED Dead Redemption 22019 : Sekiro',b'Moha_AK15',[]
2019-12-14 12:48:19,b'RT @DanielRPK: The Batman starts shooting in ONE MONTH from today \xf0\x9f\x98\xb2\xf0\x9f\x98\x80',b'cosmicbats',[]
2019-12-14 12:48:18,"b'RT @cut_release: So, Batman cannot be involved in people dying at all or else he\xe2\x80\x99s a psychopath, Superman needs to be always be optimistic\xe2\x80\xa6'",b'JackJackinovic',[]
2019-12-14 12:48:07,b'RT @DanielRPK: The Batman starts shooting in ONE MONTH from today \xf0\x9f\x98\xb2\xf0\x9f\x98\x80',b'pramudyonugroho',[]
2019-12-14 12:48:03,"b'Every confirmed DC Comics movie coming to theaters, including a Batman reboot and \xe2\x80\x98Aquaman\xe2\x80\x99 sequel - Business Insider https://t.co/O9c2auK0pQ'",b'powerscosmic',[]
2019-12-14 12:47:53,b'RT @kilIingyves: when heejin talks like ok batman gotham city needs u \xf0\x9f\x98\xad',b'yvescultists',[]
2019-12-14 12:47:51,b'RT @_Ayman_B: Batman sketch I did on the notepad app on my phone out of boredom https://t.co/xo7ifv0Spb',b'MaithamBalushi',[]
2019-12-14 12:47:21,"b'@DineshDSouza Who is he? I\xe2\x80\x99ve been following this soap opera of politics for many years and never heard of the guy. My guess was a low level comic book hero, maybe a reporter within Batman.'",b'ccdavio',[]
2019-12-14 12:47:20,"b'RT @cut_release: So, Batman cannot be involved in people dying at all or else he\xe2\x80\x99s a psychopath, Superman needs to be always be optimistic\xe2\x80\xa6'",b'dceurocks4ever',[]
2019-12-14 12:47:01,"b""RT @JimmySilver16: Hey @wbpictures Ben Affleck is The Ultimate Batman! Give us Zack Snyder's Justice League vision!  #ReleaseTheSnyderCut h\xe2\x80\xa6""",b'MOVIESTVMAD',['ReleaseTheSnyderCut']
2019-12-14 12:46:45,"b'RT @piero19851: Hype for the real Batman, Ben Affleck! \xe2\x99\xa5\xef\xb8\x8f\xf0\x9f\xa6\x87I really hope that WB #bringaffleckback and #releasethesnydercut . What do you\xe2\x80\xa6'",b'dceurocks4ever',"['bringaffleckback', 'releasethesnydercut']"
2019-12-14 12:46:45,"b'RT @Toonforbrains: One of my favorite Batman the Animated Series episodes is Holiday Knights, featuring 3 separate stories centered around\xe2\x80\xa6'",b'kashimaakebono',[]
2019-12-14 12:46:41,b'RT @LucaStrati: Bruce and Selina\xf0\x9f\x98\x8a #ballpointpendrawing  on #tonedpaper @DCComics @DcComicsUnited @DCComicsFans2 #batman #catwoman @bestofse\xe2\x80\xa6',b'angelamorales18',"['ballpointpendrawing', 'tonedpaper', 'batman', 'catwoman']"
